Date,Away Team,Home Team,Result,Venue,,,Date,Date
"Dec 18, 2015
7:00 PM ET",Brooklyn,Indiana,Preview,"Bankers Life Fieldhouse
Indianapolis, Indiana
Regular Season",,,"
7:00 PM ET","
7:00 "
"Dec 18, 2015
7:00 PM ET",Portland,Orlando,Preview,"Amway Center
Orlando, Florida
Regular Season",,,"
7:00 PM ET","
7:00 "
"Dec 18, 2015
7:00 PM ET",New York,Philadelphia,Preview,"Wells Fargo Center
Philadelphia, Pennsylvania
Regular Season",,,"
7:00 PM ET","
7:00 "
"Dec 18, 2015
7:30 PM ET",Atlanta,Boston,Preview,"TD Garden
Boston, Massachusetts
Regular Season",,,"
7:30 PM ET","
7:30 "
"Dec 18, 2015
8:00 PM ET",L.A. Clippers,San Antonio,Preview,"AT&T Center
San Antonio, Texas
Regular Season",,,"
8:00 PM ET","
8:00 "
"Dec 18, 2015
8:00 PM ET",Sacramento,Minnesota,Preview,"Target Center
Minneapolis, Minnesota
Regular Season",,,"
8:00 PM ET","
8:00 "
"Dec 18, 2015
8:00 PM ET",Detroit,Chicago,Preview,"United Center
Chicago, Illinois
Regular Season",,,"
8:00 PM ET","
8:00 "
"Dec 18, 2015
8:00 PM ET",Toronto,Miami,Preview,"AmericanAirlines Arena
Miami, Florida
Regular Season",,,"
8:00 PM ET","
8:00 "
"Dec 18, 2015
8:30 PM ET",Memphis,Dallas,Preview,"American Airlines Center
Dallas, Texas
Regular Season",,,"
8:30 PM ET","
8:30 "
"Dec 18, 2015
9:00 PM ET",Denver,Utah,Preview,"EnergySolutions Arena
Salt Lake City, Utah
Regular Season",,,"
9:00 PM ET","
9:00 "
"Dec 18, 2015
10:30 PM ET",New Orleans,Phoenix,Preview,"Talking Stick Resort Arena
Phoenix, Arizona
Regular Season",,,10:30 PM ET,10:30 
"Dec 18, 2015
10:30 PM ET",Milwaukee,Golden State,Preview,"Oracle Arena
Oakland, California
Regular Season",,,10:30 PM ET,10:30 
