#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
1,Tyler Zeller,BOS,17,7.8,1.7,3.1,0.547,0,0,0,1.2,1.6,0.741,0.6,1.4,0.5,1.1,1.6,0.4,0.1,0.1,4.6,0.48
2,Cody Zeller,CHA,23,22.1,2.7,5.7,0.485,0,0.4,0,2.5,3.5,0.716,0.8,2.8,1.4,3.3,4.7,1.1,0.8,0.5,8,0.32
3,Thaddeus Young,BRK,25,32.2,7.2,13.9,0.519,0,0.5,0.083,1.2,2.1,0.596,1.8,2.4,2.4,6.6,8.9,1.6,1.4,0.4,15.7,0.46
4,Nick Young,LAL,23,19.8,3.1,7.6,0.408,1.9,4.9,0.393,0.9,1,0.833,0.5,1.1,0.2,1.3,1.6,0.6,0.5,0.1,9,0.41
5,Joe Young,IND,9,5.1,0.6,1.9,0.294,0.1,0.6,0.2,0.6,0.7,0.833,0.4,0.4,0,0.6,0.6,0.4,0.2,0,1.8,0.43
6,James Young,BOS,10,10.3,0.5,1.6,0.312,0.2,1.1,0.182,0.1,0.4,0.25,0.2,0.5,0.2,1.4,1.6,0.7,0.3,0.1,1.3,0.17
7,Tony Wroten,PHI,5,15.5,2.6,7.6,0.342,0.6,2,0.3,2,3.8,0.526,2.8,1,0.2,1.8,2,1.4,0.4,0,7.8,0.59
8,Delon Wright,TOR,4,2.5,0,1,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.8,1,0,0,0,0,0.40
9,Brandan Wright,MEM,7,17.1,2.6,4.3,0.6,0,0,0,1.4,2.6,0.556,0.6,1.3,0.9,2.6,3.4,0.6,0.1,1.4,6.6,0.32
10,Metta World Peace,LAL,17,17.3,1.6,4.8,0.333,0.9,2.2,0.395,0.9,1.2,0.714,0.5,1.8,0.5,2.1,2.6,0.9,0.6,0.5,4.9,0.31
11,Christian Wood,PHI,14,8.1,1.4,3.1,0.442,0.3,0.6,0.444,0.6,0.9,0.692,0.1,0.6,0.7,1.6,2.3,0.2,0.4,0.4,3.6,0.43
12,Jeff Withey,UTA,16,11,1.3,2.3,0.568,0,0,0,0.4,0.8,0.583,0.7,1.3,1.1,1.9,3,0.2,0.4,0.9,3.1,0.24
13,Justise Winslow,MIA,24,28,2.4,5.7,0.426,0.5,2,0.277,0.9,1.5,0.583,1.7,2.6,0.9,4.2,5.1,1.4,0.6,0.2,6.2,0.23
14,Mo Williams,CLE,20,27.6,5.1,10.7,0.477,1.3,3.7,0.351,1.4,1.6,0.906,2.2,2.1,0.1,2.6,2.8,4,0.5,0.2,12.9,0.41
15,Marvin Williams,CHA,25,30.8,3.6,8.2,0.434,1.6,4.5,0.366,1.1,1.2,0.9,0.8,1.5,1.5,5.6,7.1,1.4,0.6,1.2,9.8,0.28
16,Lou Williams,LAL,24,27.3,3.9,9.7,0.405,1.4,4.2,0.324,4.5,5.5,0.82,1.6,2,0.3,2.2,2.5,2.4,1,0.2,13.8,0.44
17,Derrick Williams,NYK,25,12.9,2.2,5.5,0.401,0.5,1.7,0.31,1.9,2.6,0.727,0.5,0.9,0.4,1.8,2.2,0.8,0.4,0.2,6.8,0.51
18,Deron Williams,DAL,24,33.2,5.4,12.7,0.423,1.6,4.5,0.364,2.8,3,0.93,2.2,2.4,0.2,3,3.2,5.9,1.2,0.2,15.1,0.42
19,C.J. Wilcox,LAC,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#DIV/0!
