#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
1,Tyler Zeller,BOS,15,8,1.6,3,0.533,0,0,0,1.2,1.5,0.783,0.6,1.3,0.5,1.1,1.6,0.4,0.1,0.1,4.4,0.45
2,Cody Zeller,CHA,21,22.1,2.8,5.8,0.479,0,0.4,0,2.5,3.5,0.703,0.9,2.7,1.5,3.3,4.8,1,0.7,0.6,8,0.33
3,Thaddeus Young,BRK,23,32.2,7.4,14,0.529,0,0.5,0.091,1.3,2.3,0.596,1.9,2.4,2.5,6.5,9,1.4,1.4,0.3,16.3,0.46
4,Nick Young,LAL,21,19.9,3.2,7.7,0.414,2,4.9,0.398,0.9,1,0.864,0.5,1.1,0.2,1.4,1.6,0.6,0.5,0.1,9.2,0.41
5,Joe Young,IND,7,5.8,0.3,2,0.143,0,0.6,0,0.7,0.9,0.833,0.4,0.3,0,0.4,0.4,0.6,0.3,0,1.3,0.41
6,James Young,BOS,8,9.9,0.6,1.6,0.385,0.2,1,0.25,0.1,0.5,0.25,0.1,0.2,0.1,1.1,1.2,0.5,0.4,0.1,1.6,0.18
7,Tony Wroten,PHI,3,14.6,1.7,5.7,0.294,0,0.7,0,1.7,3.3,0.5,2.7,1.3,0.3,1.3,1.7,2.3,0.3,0,5,0.49
8,Delon Wright,TOR,4,2.5,0,1,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0.8,1,0,0,0,0,0.40
9,Brandan Wright,MEM,7,17.1,2.6,4.3,0.6,0,0,0,1.4,2.6,0.556,0.6,1.3,0.9,2.6,3.4,0.6,0.1,1.4,6.6,0.32
10,Metta World Peace,LAL,17,17.3,1.6,4.8,0.333,0.9,2.2,0.395,0.9,1.2,0.714,0.5,1.8,0.5,2.1,2.6,0.9,0.6,0.5,4.9,0.31
11,Christian Wood,PHI,12,8.6,1.3,3.2,0.421,0.2,0.6,0.429,0.8,1.1,0.692,0.2,0.8,0.8,1.6,2.4,0.2,0.3,0.4,3.7,0.43
12,Jeff Withey,UTA,13,9.9,1.2,2.2,0.571,0,0,0,0.2,0.5,0.333,0.7,0.9,1.2,1.6,2.8,0.2,0.3,0.8,2.6,0.24
13,Justise Winslow,MIA,21,28.6,2.5,5.9,0.423,0.4,1.8,0.216,0.9,1.6,0.559,1.7,2.8,1,4.2,5.2,1.4,0.6,0.2,6.2,0.23
14,Mo Williams,CLE,19,28,5.2,10.7,0.48,1.3,3.7,0.357,1.5,1.6,0.903,2.2,2.2,0.2,2.7,2.9,4.1,0.5,0.2,13.1,0.41
15,Marvin Williams,CHA,23,31,3.7,8.3,0.443,1.6,4.4,0.363,1,1.1,0.885,0.8,1.6,1.6,5.5,7.1,1.3,0.7,1.1,10,0.28
16,Lou Williams,LAL,22,26.9,3.9,9.8,0.395,1.4,4.2,0.323,4.5,5.6,0.813,1.5,2.1,0.4,2.1,2.5,2.3,1.1,0.2,13.6,0.45
17,Derrick Williams,NYK,24,13,2.2,5.5,0.406,0.5,1.7,0.317,2,2.7,0.734,0.5,0.9,0.4,1.9,2.3,0.8,0.4,0.2,7,0.51
18,Deron Williams,DAL,22,33.4,5.4,12.7,0.423,1.6,4.4,0.371,3,3.2,0.929,2.1,2.5,0.3,3,3.3,6,1.3,0.3,15.3,0.42
19,C.J. Wilcox,LAC,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#DIV/0!
20,Andrew Wiggins,MIN,21,35.3,7.3,17.1,0.428,0.7,2.7,0.268,5.6,7.6,0.738,2.1,2.1,1.6,2.1,3.7,1.7,0.7,0.7,21,0.57
21,Shayne Whittington,IND,1,1.9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.00
22,Hassan Whiteside,MIA,21,27.6,5.2,8.4,0.625,0,0,0,2,4,0.506,2,2.1,2.6,7.8,10.4,0.2,0.6,4.3,12.5,0.37
23,Russell Westbrook,OKC,23,34.4,9,19.1,0.472,1.6,4.8,0.327,6.6,7.8,0.844,4.9,2.3,1.8,5.5,7.3,9.8,2.4,0.3,26.1,0.65
24,David West,SAS,25,14.8,2.3,4.2,0.552,0,0.1,0.5,0.6,0.9,0.682,1.1,1.7,0.7,2.9,3.6,1.6,0.6,0.4,5.3,0.31
25,Sonny Weems,PHX,10,8.5,0.3,1.4,0.214,0,0.4,0,0.3,0.5,0.6,1,0.5,0.1,1.5,1.6,1,0.3,0,0.9,0.19
26,C.J. Watson,ORL,8,19.6,1.8,4.8,0.368,0.6,2,0.312,0.6,0.9,0.714,0.8,1.2,0.5,1.5,2,3.2,1,0,4.8,0.26
27,T.J. Warren,PHX,23,21.5,4.7,9,0.524,0.4,1.1,0.4,1,1.3,0.759,0.8,1.9,1.2,2,3.2,0.7,0.7,0.3,10.8,0.44
